CO(GT),PT08.S1(CO),NMHC(GT),C6H6(GT),PT08.S2(NMHC),NOx(GT),PT08.S3(NOx),NO2(GT)
3.9,1510,233,19.3,1277,206,812,149
3.7,1525,242,18.2,1246,202,821,145
6.6,1843,488,32.6,1610,340,624,170
4.4,1598,333,20.1,1299,274,752,149
3.5,1484,215,14.3,1127,253,839,139
5.4,1677,367,21.8,1346,300,741,134
2.7,1280,122,9.6,964,193,963,113
1.9,1196,67,7.4,873,139,1071,97
1.6,1184,43,5.4,782,83,1176,82
1.7,1172,46,5.4,783,-200,1179,82.5
-200,1147,56,6.2,821,109,1132,83
1,978,30,2.6,625,62,1420,65
1.2,1100,27,2.9,646,53,1406,60
1.5,1112,47,5.1,770,139,1228,77
2.7,1336,132,11.8,1043,256,935,96
3.7,1408,239,15.1,1153,295,830,119
3.2,1447,160,12.9,1081,250,869,126
4.1,1542,283,16.1,1184,296,808,158
3.6,1451,210,14,1117,239,875,161
2.8,1328,154,12.3,1059,153,987,124
2,1207,112,8.6,924,118,1088,102
2,1240,108,9.2,947,119,1049,116
2.5,1306,111,10.2,987,138,1004,124
2.3,1326,97,10.6,1000,148,976,125
3.2,1473,191,15.5,1163,227,831,148
4.2,1609,258,19.6,1286,277,758,165
4.2,1611,284,19.2,1274,279,754,161
4.2,1621,269,18.3,1247,283,762,159
3.1,1444,180,13.1,1089,214,844,143
2.6,1418,116,10.9,1010,172,892,130
2.9,1534,93,11,1013,190,889,129
2.8,1484,131,11.9,1045,174,880,119
2.5,1367,92,8.6,925,128,953,104
2.4,1344,132,9.7,968,-200,921,93
-200,1130,56,5.2,773,70,1130,82
1.2,1062,32,3.7,691,53,1272,70
1,1076,29,2.5,618,44,1395,63
0.9,1028,27,2.4,615,74,1384,67
1.4,1155,36,4.2,722,101,1225,84
1.6,1235,57,6.4,828,118,1055,83
2.2,1332,129,8.6,923,144,952,98
2.8,1445,148,10.9,1009,176,878,114
2.8,1416,145,10.7,1002,161,907,119
2,1281,93,7.5,880,113,1084,104
1.8,1207,84,7.5,879,103,1104,102
1.9,1258,99,8.2,906,112,1081,107
3,1458,150,11.9,1045,170,974,129
2.9,1438,156,12,1051,180,943,128
2.5,1478,122,12.2,1055,160,929,121
4.6,1808,262,20.6,1312,261,753,157
5.9,1898,341,23.1,1381,325,681,173
3.4,1560,214,14.7,1140,217,784,146
2.1,1324,100,9,940,146,924,121
2.2,1349,79,8.8,933,152,933,119
1.8,1239,66,7.4,872,104,985,99
1.8,1239,73,6.9,853,106,1010,93
1.8,1224,66,7,855,108,998,88
1.1,1078,44,4.4,734,-200,1128,79.5
-200,1078,44,4,711,66,1150,71
1,1075,39,3.9,703,88,1156,74
1.4,1157,51,6.4,830,138,1030,80
2.2,1314,107,9.7,966,228,897,89
5.5,1797,336,25.9,1451,360,652,114
8.1,1961,618,36.7,1701,478,537,149
5.8,1771,438,26.6,1470,394,622,157
4.2,1564,334,20.1,1300,319,710,155
3.1,1430,221,14.1,1120,201,831,134
2.9,1417,207,14.9,1146,171,830,119
2.9,1400,191,15.4,1162,159,838,111
2.5,1317,185,12.1,1053,153,926,104
2.3,1318,141,11.5,1033,143,950,99
2.8,1445,214,14.8,1141,156,857,110
6.1,1917,471,32.1,1601,314,631,162
8,2040,685,39.2,1754,404,542,187
6.5,1895,538,31,1573,320,565,165
4.2,1595,319,19.9,1294,256,678,145
3.2,1439,224,15.3,1159,193,764,125
1.4,1142,67,6.9,852,89,1008,101
2.1,1304,155,11.1,1019,127,852,103
1.2,1074,49,5.4,784,79,1098,88
0.8,968,29,2.8,640,43,1320,61
0.7,929,25,2.3,608,-200,1376,60
-200,941,25,2.6,626,59,1316,59
0.6,937,17,2,585,38,1412,52
0.9,1017,27,3.5,681,82,1246,64
1.3,1171,50,5.1,770,99,1162,70
3.4,1541,218,16.2,1185,263,770,97
3.7,1539,285,19.7,1287,229,698,95
5.3,1735,437,25.1,1431,396,628,150
4.1,1571,327,20,1297,314,730,162
3.3,1452,283,18.3,1250,217,776,154
4,1579,366,22.3,1359,252,724,161
3.8,1466,318,20.4,1309,263,773,161
2.8,1280,228,14.6,1136,180,893,128
2.9,1407,201,16.6,1197,184,905,129
2.9,1389,199,15.8,1173,190,898,133
3.4,1447,237,17.8,1235,184,859,139
3.9,1551,261,19.1,1271,181,800,137
3.2,1474,230,15.8,1173,166,854,143
5.1,1800,349,24.9,1426,317,700,177
2.6,1379,183,13.5,1101,184,818,138
1.7,1201,88,9.1,943,130,935,117
1.7,1205,85,8.6,925,132,922,107
1.2,1072,47,5.4,784,95,1066,90
0.9,998,34,4.1,714,70,1169,79
0.7,933,26,2.6,625,-200,1292,69.5
-200,883,17,1.9,577,54,1396,60
0.5,869,11,1.6,554,28,1460,40
0.5,891,18,1.9,576,46,1417,53
1.6,1173,84,7.5,878,160,1038,84
4.1,1587,260,21.4,1334,320,702,108
6.6,1852,534,36.4,1696,377,553,127
4.3,1522,368,21.3,1331,280,703,134
2.9,1438,200,15.4,1161,221,819,135
2.5,1393,145,12.5,1067,210,905,142
2.8,1452,188,15.1,1152,204,861,153
2.6,1389,152,13.7,1108,161,887,123
2,1207,103,10.4,994,135,1013,104
2.9,1365,193,15.2,1154,186,940,129
2.5,1247,134,12.3,1060,147,1032,114
5,1557,386,27,1478,299,793,158
7.6,1973,577,38.4,1737,411,617,194
6.7,1975,523,35.1,1667,347,597,182
5.7,1795,472,27.2,1485,336,653,180
2.8,1444,206,15,1150,202,770,136
2.6,1488,216,15.7,1171,178,731,127
2.3,1371,159,13,1083,154,796,116
1.4,1161,70,8.1,904,92,947,107
1,1064,44,5.5,787,61,1057,88
0.7,970,42,3.6,687,-200,1196,83
-200,954,28,2.9,645,60,1260,78
0.6,931,20,2.5,623,37,1293,57
0.7,938,26,3,650,68,1251,71
1.5,1166,78,7.7,885,139,1005,85
4.7,1643,319,23.3,1384,339,667,124
6.6,1934,506,35.8,1682,421,541,151
4.5,1617,-200,21.3,1333,349,686,150
2.8,1473,-200,14.3,1127,224,831,152
2.2,1379,-200,12.5,1068,171,899,139
2.2,1385,-200,12.2,1056,149,891,133
2.3,1379,-200,13.1,1087,137,901,126
2.2,1322,-200,14.4,1129,149,934,128
2.8,1496,-200,16.8,1205,172,822,169
2.7,1409,-200,14.5,1131,166,873,149
3.7,1513,-200,21.5,1338,214,764,156
5.1,1667,-200,26.4,1464,280,683,168
5.1,1667,-200,26,1453,276,684,176
3.2,1430,-200,14.1,1121,178,814,135
2.1,1333,-200,10.3,989,129,885,121
1.7,1262,-200,8.3,911,95,948,99
2,1287,-200,8.9,936,126,918,106
1.6,1134,-200,6.6,840,103,1021,96
0.9,999,-200,3.6,688,48,1229,63
0.7,961,-200,2.5,622,-200,1382,47.5
-200,934,-200,1.8,569,20,1440,32
0.5,913,-200,1.3,525,18,1620,28
0.7,969,-200,2.3,607,56,1373,61
1.5,1182,-200,6.7,845,115,1054,99
4.8,1740,-200,22.8,1372,320,671,157
6.2,1819,-200,31.3,1582,357,575,166
4,1427,-200,19.2,1275,253,701,149
3.3,1390,-200,16.4,1191,218,759,135
2.8,1283,-200,14,1117,192,813,127
3,1304,-200,15.3,1157,176,793,122
3.3,1364,-200,16.7,1202,198,771,135
3.5,1410,-200,19,1268,212,724,139
4,1476,-200,19.4,1280,249,708,147
4.6,1522,-200,20.9,1320,270,690,158
4.1,1442,-200,20.2,1301,231,704,146
4.5,1469,-200,21.7,1344,251,677,144
3.9,1467,-200,19.8,1292,210,698,138
4,1421,-200,16.7,1202,249,748,143
2.2,1175,-200,9.1,945,143,904,116
2.1,1215,-200,8.3,912,127,948,109
1.7,1127,-200,5.8,802,104,1064,92
1.6,1090,-200,5.2,773,86,1105,83
1.3,1017,-200,4.1,718,74,1182,81
1.3,997,-200,3.4,677,-200,1252,68
-200,945,-200,2.9,646,44,1308,55
0.8,956,-200,3.1,661,42,1260,53
0.8,966,-200,2.5,622,63,1317,67
1.1,1064,-200,4.3,728,115,1161,91
2.1,1300,-200,8.9,935,170,902,113
2.4,1348,-200,10.5,998,147,834,102
2.6,1425,-200,12.5,1068,166,776,107
2.8,1474,-200,12.3,1061,195,768,113
2.6,1490,-200,11.7,1039,182,782,108
2.6,1495,-200,11.7,1040,168,809,105
2.1,1376,-200,9.3,953,125,900,93
1.7,1305,-200,7.6,884,95,980,87
1.6,1283,-200,6.7,844,79,1036,76
2.1,1392,-200,9.7,967,119,930,94
2.3,1452,-200,12.4,1063,142,856,110
3.5,1633,-200,16.6,1199,215,734,136
3.9,1625,-200,16.4,1191,229,733,139
3.3,1535,-200,13.7,1108,206,785,125
2.3,1323,-200,9.9,973,147,864,111
2.1,1309,-200,8.9,937,122,905,97
2.8,1456,-200,10.6,999,175,835,107
2.1,1300,-200,7.4,872,133,941,90
1.6,1203,-200,6.2,823,89,1004,84
1.6,1195,-200,6.5,836,-200,987,85.5
-200,1117,-200,5.8,802,85,1029,87
1.1,1062,-200,4,711,55,1136,66
0.7,947,-200,2.1,594,24,1300,36
0.8,1065,-200,3.6,687,72,1143,62
1.2,1155,-200,4.4,734,122,1062,91
1.4,1220,-200,5.4,782,111,996,89
1.7,1301,-200,7.1,862,123,914,93
1.8,1279,-200,7.3,870,106,911,81
1.8,1267,-200,7.6,883,103,953,82
1.9,1239,-200,6.8,848,102,981,80
1.3,1128,-200,4.6,742,48,1144,48
1.6,1243,-200,8.4,916,63,962,61
1.9,1208,-200,6.9,853,98,1060,89
2.3,1306,-200,9,938,132,961,105
3.8,1546,-200,15.1,1151,173,769,116
3.5,1501,-200,12.6,1071,185,823,119
4.3,1605,-200,15.1,1153,266,769,144
2.8,1316,-200,9.9,974,188,883,123
1.9,1195,-200,8,898,122,933,105
1.9,1211,-200,7.9,896,112,920,93
1.7,1161,-200,6.1,815,93,995,86
1.5,1095,-200,5.1,767,74,1050,76
0.6,897,-200,1.7,563,23,1417,33
0.4,842,-200,0.7,468,-200,1813,30
-200,854,-200,0.8,481,17,1756,27
0.3,845,-200,0.7,472,15,1786,23
0.6,942,-200,2,586,41,1480,46
1.2,1090,-200,5.1,768,86,1072,76
3.6,1514,-200,17.7,1230,226,732,116
3.7,1379,-200,18.4,1252,214,711,115
1.8,1074,-200,6.9,854,115,1032,83
1.6,1090,-200,7.3,868,124,1026,87
1.9,1110,-200,9.6,964,122,947,90
2,1102,-200,10.4,994,107,955,87
2.2,1100,-200,11.2,1021,133,952,99
2.1,1094,-200,10.7,1003,130,965,99
2.3,1076,451,11.6,1034,150,964,101
2.6,1152,185,12.4,1062,138,928,103
3.8,1407,426,18.3,1249,213,720,129
4.4,1438,672,21,1325,232,678,143
4.5,1425,624,21,1325,238,678,146
3.3,1279,325,14.5,1131,180,775,124
2,1132,143,8.4,916,128,920,113
1.1,1006,89,4.3,729,65,1142,80
0.9,982,73,3.8,700,53,1204,72
0.8,969,48,2.7,636,47,1271,64
0.7,941,47,2.5,621,51,1298,70
0.5,892,36,1.2,522,-200,1522,50.5
-200,855,25,0.8,478,20,1701,31
0.3,834,19,0.6,459,13,1908,22
0.5,909,26,1.8,567,33,1542,47
1.1,1061,60,4.6,745,103,1178,88
3,1441,248,14.2,1124,224,851,130
3.8,1498,535,21,1325,244,684,132
3.4,1343,340,16.2,1185,237,760,132
3,1308,325,15.5,1166,220,792,131
2.7,1209,267,13.4,1097,207,837,129
3.5,1310,325,16.9,1207,208,770,132
2.8,1171,268,12.4,1064,160,881,110
1.9,1112,136,10.1,980,131,924,99
2,1132,118,8.7,927,128,944,100
3,1225,276,13.8,1111,176,818,122
1.9,1065,151,9.3,953,107,962,97
2.7,1236,236,13,1084,131,854,112
3.3,1309,220,14.3,1126,166,812,128
1.7,1089,87,7.6,884,89,1006,101
1.3,1000,81,5.3,776,81,1141,96
1.3,1041,74,5.4,782,78,1105,86
1.2,1045,55,4.9,756,70,1137,85
1.1,997,74,4.6,744,76,1151,79
0.9,948,35,2.7,634,43,1320,61
0.6,878,29,1.6,551,-200,1493,63.5
-200,908,29,1.7,559,44,1477,66
0.6,892,20,1.2,522,34,1572,54
0.8,954,32,1.7,561,43,1496,57
1.2,1045,84,4.8,751,79,1186,75
3.1,1383,245,13.8,1109,174,832,97
4.4,1597,553,23.7,1395,235,652,110
3.4,1318,450,14.2,1124,218,762,113
1.7,1138,118,8,898,136,950,88
1.5,1098,118,6.7,842,117,1012,85
1.7,1118,144,8.7,927,119,959,96
2.2,1170,159,10.8,1009,126,879,106
-200,1112,122,6.7,842,100,1015,91
2.7,1390,230,11.4,1028,197,829,126
2.8,1353,320,13.4,1096,195,774,130
2.7,1260,263,12,1050,156,828,111
4.5,1501,556,20.2,1302,247,681,134
3.5,1273,458,14.4,1130,190,795,136
2.6,1179,214,9.4,955,169,928,125
1.7,1047,97,5.9,809,118,1064,108
1.3,973,79,4.5,739,81,1186,87
1.3,997,81,4.5,737,80,1168,89
1,970,52,2.5,621,42,1400,58
0.7,902,38,1.8,568,38,1450,54
0.7,921,35,1.4,538,-200,1564,41
0.5,858,29,0.9,490,18,1707,28
0.5,878,21,0.6,457,12,1935,20
0.6,893,46,1.4,540,43,1604,51
1.1,1038,55,3.8,697,84,1260,82
2.7,1320,271,11.6,1035,184,902,112
3.5,1353,434,17.8,1235,202,740,119
2.3,1133,300,8.8,933,133,969,99
1.6,1066,116,6.8,849,130,1039,98
1.3,1027,95,5.9,809,106,1081,88
2,1106,211,8.9,935,132,958,96
1.9,1038,168,8.2,907,106,976,81
1.9,1084,154,8.6,924,125,986,92
2.2,1105,267,10.1,982,138,939,105
2,1102,143,9.4,957,120,968,88
2.9,1240,374,14.6,1137,158,836,103
5.2,1443,797,24.6,1418,253,666,141
4.6,1389,698,21.6,1341,231,692,133
2.5,1183,234,10.3,989,150,904,119
1.5,1014,104,5.7,798,99,1083,106
1.2,979,67,4.5,736,75,1154,92
1.7,1048,88,5.5,787,93,1098,97
1.4,1024,79,4.8,753,79,1131,91
1.2,974,61,3.6,690,67,1208,83
0.6,862,43,1.7,561,-200,1449,71
0.7,925,40,2.2,602,45,1398,59
0.8,952,52,3,654,72,1210,73
0.9,1005,64,4,713,103,1130,78
1.6,1122,88,6.7,842,132,1015,90
3.4,1351,375,16.7,1201,239,783,110
3.8,1408,592,19.3,1278,275,682,114
3.1,1304,357,14.8,1142,232,772,119
2.7,1207,296,13.4,1098,180,826,121
2,1099,181,11,1014,112,948,97
2.3,1106,211,12.5,1068,116,915,99
1.9,1009,199,8.4,916,103,1015,85
1.3,962,81,5.3,776,89,1152,75
1.9,1093,143,8.8,933,112,976,87
2.3,1180,247,11.2,1023,127,886,102
2.4,1168,239,11.6,1037,125,868,105
2.7,1168,267,12.4,1063,120,876,98
2.6,1140,261,10.6,1000,120,916,93
1.5,1001,97,6,811,99,1097,91
1.2,953,66,4.6,743,79,1185,85
1.1,972,60,4.1,715,66,1237,74
1.5,1021,77,5.2,776,94,1144,87
1,940,57,3.2,664,70,1290,79
1.2,1046,65,4.5,736,75,1142,78
1.1,1026,59,3.8,699,-200,1191,70.5
-200,983,48,3.8,698,57,1209,63
0.8,915,27,1.9,578,32,1417,48
0.9,935,25,2.4,615,54,1373,59
1.1,976,42,3.3,669,68,1270,65
1.5,1124,78,6.7,842,98,1050,71
1.8,1163,128,8.5,919,128,922,84
2.1,1167,184,9.7,966,129,942,93
2.1,1121,156,9.4,955,130,992,99
1.9,1071,176,9,940,111,994,93
2.1,1065,232,10,979,106,950,96
2.5,1157,305,12.6,1072,137,888,114
1.9,1046,150,7.6,883,113,1051,101
2.2,1147,188,11.8,1042,122,934,108
2.3,1119,221,11.2,1022,137,916,117
2.7,1210,219,12.4,1062,165,886,125
3,1306,306,12.9,1079,196,827,133
2.8,1258,270,12.2,1057,174,841,119
2.2,1148,231,8.8,930,140,948,107
1.6,1108,125,6.8,848,102,1023,96
2.1,1231,122,8.6,924,130,906,105
2.3,1293,161,8.9,937,121,930,102
2.3,1274,101,8.3,912,111,939,97
1.7,1135,95,6.3,827,87,1013,79
2.2,1151,129,8.3,911,-200,935,74
1.3,1010,96,5.1,769,77,1110,69
0.8,870,54,2.6,626,39,1325,52
1.1,983,63,3.6,688,77,1251,62
1.4,995,72,3.6,691,91,1219,69
1.3,1024,91,4.7,747,105,1136,75
1.9,1163,127,7.5,880,133,959,83
2.3,1218,193,9,938,128,918,94
2.3,1210,188,9.5,958,126,933,96
1.8,1114,151,7.7,887,92,1020,86
1.4,995,103,5.7,796,66,1159,72
1,927,55,3.8,700,50,1285,53
1.4,1002,104,4.8,754,70,1189,65
1.3,987,116,4.3,727,73,1213,70
1.3,993,93,4.1,714,77,1217,75
1.4,1012,93,4.7,746,86,1174,86
1.9,1114,155,6.2,823,93,1068,94
1.8,1093,115,5.5,789,105,1102,103
1.1,968,75,3.3,669,67,1261,81
1.1,960,65,3.2,666,63,1266,80
1.1,942,57,2.9,648,63,1300,77
0.9,888,40,2.2,598,46,1396,58
0.6,818,27,1.3,524,21,1588,31
0.5,840,23,1.1,509,22,1643,38
0.7,894,28,1.3,524,-200,1557,48.5
0.6,864,21,1.2,516,39,1496,59
0.7,898,33,1.7,559,55,1441,70
0.9,946,40,2.9,643,76,1309,75
2.9,1309,279,14.3,1125,181,844,103
4.1,1326,743,19.7,1289,259,714,134
1.5,966,147,5.5,786,118,1111,98
1.5,975,97,5.6,793,119,1133,97
1.5,988,118,5.8,803,123,1105,98
1.4,971,91,5.5,786,92,1129,78
1.6,1010,146,6.5,833,91,1070,83
1.5,984,139,5.5,790,103,1131,92
1.4,962,155,5.2,776,102,1131,81
1.5,1012,128,5.8,801,94,1098,90
1.9,1058,166,7.9,896,98,996,95
2.5,1173,299,10.2,985,126,905,114
2.1,1127,163,8.2,907,108,957,106
1.6,1020,154,5.7,797,95,1066,99
1.2,949,80,3.8,700,78,1221,90
1.1,930,58,4,710,61,1278,82
1,900,55,2.8,643,55,1339,74
1,899,33,2.6,630,57,1418,76
0.7,866,33,1.8,569,41,1468,66
0.7,900,32,1.7,563,46,1402,73
0.8,949,25,1.4,540,-200,1457,71
-200,897,29,1.3,529,41,1462,69
0.7,956,26,2.3,605,52,1341,71
1.1,1054,86,5.3,779,111,1080,98
2.6,1343,294,13.4,1096,191,839,115
4,1584,664,23.8,1399,244,642,130
4.2,1556,695,21.5,1337,283,674,150
4.7,1565,735,21,1324,320,695,159
3.9,1429,649,18.4,1251,249,734,146
3.7,1419,586,18.9,1267,219,742,138
3.4,1373,546,17.1,1213,200,791,128
2.2,1185,245,10.4,992,138,942,97
1.9,1122,178,8,897,118,991,91
1.6,1085,130,6.2,820,99,1060,81
2.1,1249,151,9.7,968,112,874,99
2.2,1236,272,9.6,962,117,853,101
2.7,1334,301,11.9,1047,129,815,106
2.4,1264,237,8.7,928,132,884,102
1.3,1073,95,4.7,746,73,1072,84
1.2,1053,68,3.8,701,68,1147,81
1.5,1098,101,4.7,747,80,1094,91
1.3,1029,81,3.8,702,68,1180,82
1,973,50,2.7,631,44,1287,64
0.9,972,66,2.8,639,47,1222,70
0.5,832,22,1,496,-200,1613,48
0.5,851,18,0.8,477,15,1699,26
0.6,909,31,1.5,545,44,1473,58
1,1038,57,3.5,684,85,1220,93
3.1,1636,342,15.6,1168,207,721,110
4.1,1580,644,19.9,1295,230,639,115
2.2,1262,216,8.6,924,181,872,125
1.7,1197,117,6.5,837,144,957,118
1.9,1277,156,7.7,886,140,902,109
2.9,1430,332,11.3,1025,204,779,123
2.2,1242,232,9.1,944,149,846,114
2.6,1349,295,11.2,1023,171,804,114
3.1,1390,386,13.5,1100,195,755,119
2.3,1224,278,10.1,980,152,850,111
2.4,1253,263,11.3,1026,128,810,103
2.8,1312,322,11.8,1041,121,821,103
2.7,1254,226,11.5,1033,142,819,107
2.3,1198,221,9.3,953,131,882,105
1.5,1060,109,5.5,787,81,1044,91
1.4,1050,105,5.1,769,60,1078,79
1.2,1029,84,4.8,754,57,1098,79
1.6,1143,106,6.3,825,96,986,86
1.2,1044,100,5.1,770,85,1031,70
1.1,1034,71,4.1,716,50,1085,55
0.9,956,72,4,713,-200,1099,52
0.7,909,44,2.4,615,57,1237,49
0.9,996,45,2.9,648,64,1176,50
1.7,1154,134,7.4,876,153,1002,67
4.2,1510,505,19.8,1291,342,675,94
6.2,1722,1042,31.9,1595,378,539,119
4.6,1512,737,21,1323,304,631,139
2.8,1258,375,11.7,1040,192,800,113
1.6,1094,124,6.8,850,130,970,88
1.7,1129,137,7.4,875,106,974,73
1.7,1125,179,8.6,924,102,937,73
1.7,-200,222,-200,-200,99,-200,72
1.9,-200,197,-200,-200,108,-200,81
2.3,-200,319,-200,-200,131,-200,93
3.3,1308,388,16.4,1193,163,793,106
4.2,1529,589,21.2,1331,211,700,132
5.5,1592,840,25,1429,267,624,164
4.9,1536,655,20.2,1302,269,666,161
2.5,1192,254,10.8,1007,154,827,124
2,1186,188,9.9,976,127,844,113
2,1203,120,8.5,920,122,898,103
2,1139,157,8,899,126,921,104
1.3,1072,88,5.6,795,84,986,93
1,954,68,3.2,667,58,1180,60
0.9,951,57,3.3,673,-200,1137,56
-200,926,36,2.8,638,37,1195,52
0.7,968,51,2.6,628,56,1197,66
1.1,1067,93,4.3,727,91,1055,82
2.6,1386,284,13,1083,159,798,109
3.9,1474,486,20.3,1306,190,634,114
5,1569,798,20.7,1316,249,634,139
3.3,1375,524,15.9,1177,196,706,127
2.9,1328,468,14.2,1123,180,738,127
3.1,1341,454,15.9,1176,167,748,135
3,1297,461,16.1,1183,159,765,130
2.7,1303,391,14.7,1139,152,790,126
2.7,1281,337,14,1116,149,809,121
2.6,1248,297,13.6,1103,143,872,122
3.7,1382,588,19.7,1288,185,778,138
4.5,1491,721,23.3,1385,223,685,165
4.7,1620,710,24.1,1407,215,641,154
5.5,1693,787,25.4,1439,271,618,168
3,1374,415,14.1,1121,180,771,146
1.9,1287,245,10.1,982,115,841,124
2.3,1408,294,12.1,1052,149,761,124
1.6,1254,139,9,941,98,828,106
1.3,1141,98,6.3,827,73,936,88
1.2,1141,88,5.3,777,69,986,83
0.9,1042,66,3.8,697,-200,1056,78.5
0.8,986,57,3,651,60,1145,74
0.8,1005,57,3.3,673,56,1103,64
0.9,1041,60,3.5,683,73,1112,69
2,1272,200,9.5,959,159,846,91
3,1436,451,15.2,1154,203,704,96
3.1,1472,422,14.3,1126,211,720,106
-200,1418,-200,11.2,1023,-200,785,103
-200,1410,-200,11.4,1030,-200,781,100
-200,1438,-200,13.4,1096,-200,781,97
-200,1278,-200,10.6,1000,-200,866,94
-200,1257,-200,10.8,1006,-200,915,91
-200,1331,-200,11.9,1046,-200,882,88
-200,1361,-200,13.5,1102,-200,834,85
-200,1398,-200,15.2,1156,-200,812,82
-200,1483,-200,17.1,1213,-200,764,79
-200,1697,-200,26.7,1471,-200,625,76
-200,1459,-200,14.2,1124,-200,736,73
-200,1268,-200,8.5,918,-200,873,70
-200,1469,-200,14.3,1128,-200,762,67
-200,1316,-200,9.3,952,-200,847,64
-200,1224,-200,7.8,892,-200,884,61
-200,1215,-200,6.7,843,-200,929,58
-200,1115,-200,5.4,782,-200,980,55
-200,1124,-200,5.6,793,-200,965,52
-200,1028,-200,3.5,682,-200,1090,49
-200,1010,-200,3,650,-200,1171,46
-200,1074,-200,4.4,731,-200,1020,43
-200,1034,-200,3.5,684,-200,1110,40
-200,1130,-200,4.2,720,-200,1063,37
-200,1275,-200,8,900,-200,868,34
-200,1324,-200,9,939,-200,846,31
-200,1268,-200,8.1,902,-200,906,28
-200,1272,-200,8.6,924,-200,895,25
-200,1160,-200,7.1,860,-200,969,22
-200,1136,-200,5.6,792,-200,1057,19
-200,1296,-200,10,977,-200,863,16
-200,1345,-200,10.5,996,-200,841,13
-200,1296,-200,10.1,983,-200,845,10
-200,1258,-200,10,977,-200,838,7
-200,1420,-200,13,1085,-200,755,4
-200,1366,-200,10.5,997,-200,830,1
-200,1113,-200,5.2,772,-200,989,-2
-200,1196,-200,6.9,853,-200,909,-5
-200,1188,-200,6.4,829,-200,930,-8
-200,1102,-200,4.7,750,-200,1007,-11
-200,969,-200,2.4,611,-200,1239,-14
-200,983,-200,2.2,600,-200,1233,-17
-200,876,-200,1.1,505,-200,1456,-20
-200,884,-200,0.9,489,-200,1536,-23
-200,1024,-200,3.1,658,-200,1175,-26
-200,1126,-200,6.2,822,-200,945,-29
-200,1415,-200,13.2,1089,-200,767,-32
-200,1631,-200,25.8,1449,-200,570,-35
-200,1499,-200,18.2,1247,-200,647,-38
3.1,1461,424,14.3,1127,236,703,124
3,1430,339,13.7,1107,228,713,121
3.2,1498,445,15.7,1171,206,684,114
3.1,1454,535,15.4,1162,188,682,114
2.5,1402,278,12.6,1069,158,733,106
2.1,1327,256,9.8,971,124,803,89
2,1273,245,9.6,963,98,832,82
3.2,1457,458,16.3,1190,160,678,111
4.1,1543,710,19.8,1290,194,631,132
3.9,1499,678,18,1239,174,651,121
3.1,1378,436,13.6,1102,157,742,116
2,1243,178,8.7,928,109,852,100
1.7,1196,160,7.7,885,85,884,89
1.6,1137,177,7.3,869,90,890,92
1,1015,101,4.1,718,61,1065,71
0.8,978,66,2.7,635,36,1188,51
0.5,933,40,1.5,547,25,1357,39
0.5,927,54,1.9,579,-200,1267,37
0.5,908,39,1.8,569,24,1303,35
0.8,980,62,3.4,677,73,1141,64
1.7,1236,120,8.5,920,164,880,94
4.5,1664,599,24.1,1407,329,594,134
6.2,1757,1084,33.7,1636,302,494,129
4.4,1524,776,22,1350,256,588,125
2.9,1329,470,14.1,1119,182,707,107
1.6,1167,169,7.6,884,105,881,78
